nome,n_caixas,tipo,max_geracoes,geracoes_executadas,geracao_convergencia,fitness,tempo,motivo,sucesso
Conv_20_50,20,heterogeneo,50,25,26,-0.0,9.246073007583618,ESTAGNACAO - 25 geracoes sem melhoria,True
Conv_20_100,20,heterogeneo,100,50,51,-0.0,16.980231761932373,ESTAGNACAO - 50 geracoes sem melhoria,True
Conv_20_200,20,heterogeneo,200,100,101,-0.0,30.362330436706543,ESTAGNACAO - 100 geracoes sem melhoria,True
Conv_20_500,20,heterogeneo,500,250,251,-0.0,58.723209857940674,ESTAGNACAO - 250 geracoes sem melhoria,True
Conv_40_50,40,heterogeneo,50,25,26,-0.0,33.867769718170166,ESTAGNACAO - 25 geracoes sem melhoria,True
Conv_40_100,40,heterogeneo,100,50,51,-0.0,64.28923487663269,ESTAGNACAO - 50 geracoes sem melhoria,True
Conv_40_200,40,heterogeneo,200,100,101,-0.0,140.62596821784973,ESTAGNACAO - 100 geracoes sem melhoria,True
Conv_40_500,40,heterogeneo,500,250,251,-0.0,342.03992533683777,ESTAGNACAO - 250 geracoes sem melhoria,True
Conv_60_50,60,heterogeneo,50,25,26,-0.0,101.14564394950867,ESTAGNACAO - 25 geracoes sem melhoria,True
Conv_60_100,60,heterogeneo,100,50,51,-0.0,192.82883143424988,ESTAGNACAO - 50 geracoes sem melhoria,True
Conv_60_200,60,heterogeneo,200,100,101,-0.0,387.06646609306335,ESTAGNACAO - 100 geracoes sem melhoria,True
Conv_60_500,60,heterogeneo,500,250,251,-0.0,1017.7749917507172,ESTAGNACAO - 250 geracoes sem melhoria,True
Conv_80_50,80,heterogeneo,50,25,26,-0.0,195.385320186615,ESTAGNACAO - 25 geracoes sem melhoria,True
Conv_80_100,80,heterogeneo,100,50,51,-0.0,380.5846586227417,ESTAGNACAO - 50 geracoes sem melhoria,True
Conv_80_200,80,heterogeneo,200,100,101,-0.0,695.3813562393188,ESTAGNACAO - 100 geracoes sem melhoria,True
Conv_80_500,80,heterogeneo,500,250,251,-0.0,1742.2571105957031,ESTAGNACAO - 250 geracoes sem melhoria,True
Hom_10,10,homogeneo,200,100,101,-0.0,4.556445121765137,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_20,20,homogeneo,200,100,101,-0.0,21.413942337036133,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_30,30,homogeneo,200,100,101,-0.0,58.71205806732178,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_40,40,homogeneo,200,100,101,-0.0,120.79914832115173,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_50,50,homogeneo,200,100,101,-0.0,214.5528392791748,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_60,60,homogeneo,200,100,101,-0.0,344.61232924461365,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_70,70,homogeneo,200,100,101,-0.0,536.8429863452911,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_80,80,homogeneo,200,100,101,-0.0,751.130624294281,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_10,10,heterogeneo,200,100,101,-0.0,5.641264915466309,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_20,20,heterogeneo,200,100,101,-0.0,16.183891534805298,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_30,30,heterogeneo,200,130,131,-0.0,54.18165612220764,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_40,40,heterogeneo,200,100,101,-inf,16.448681592941284,ESTAGNACAO - 100 geracoes sem melhoria,False
Container_Pequeno,50,heterogeneo,200,119,120,-0.0,177.13989448547363,ESTAGNACAO - 100 geracoes sem melhoria,True
Container_Medio,50,heterogeneo,200,100,101,-0.0,200.38854551315308,ESTAGNACAO - 100 geracoes sem melhoria,True
Container_Grande,50,heterogeneo,200,100,101,-0.0,228.8259470462799,ESTAGNACAO - 100 geracoes sem melhoria,True
Container_Extra,50,heterogeneo,200,100,101,-0.0,240.9534137248993,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_20,20,homogeneo,200,100,101,-0.0,23.76932191848755,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_20,20,heterogeneo,200,101,102,-0.0,17.22907543182373,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_30,30,homogeneo,200,100,101,-0.0,61.178244829177856,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_30,30,heterogeneo,200,126,127,-0.0,50.81725716590881,ESTAGNACAO - 100 geracoes sem melhoria,True
Hom_40,40,homogeneo,200,100,101,-0.0,118.34340524673462,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_40,40,heterogeneo,200,100,101,-inf,22.079299926757812,ESTAGNACAO - 100 geracoes sem melhoria,False
Hom_50,50,homogeneo,200,100,101,-0.0,212.40359497070312,ESTAGNACAO - 100 geracoes sem melhoria,True
Heter_50,50,heterogeneo,200,100,101,-inf,27.29228401184082,ESTAGNACAO - 100 geracoes sem melhoria,False
