indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Largas_0,1,0,0,5,0,1,3,1
1,Largas_1,2,3,2,2,0,1,3,1
2,Largas_2,3,3,2,1,0,1,3,1
3,Largas_3,4,7,1,1,1,3,1,1
4,Largas_4,5,3,3,0,0,1,3,1
5,Largas_5,1,3,6,2,1,3,1,1
6,Largas_6,2,0,3,2,0,1,3,1
7,Largas_7,3,0,3,1,0,1,3,1
8,Largas_8,4,1,2,0,1,3,1,1
9,Largas_9,5,5,4,0,0,1,3,1
10,Largas_10,1,0,6,3,1,3,1,1
11,Largas_11,2,1,1,2,1,3,1,1
12,Largas_12,3,0,6,1,1,3,1,1
13,Largas_13,4,4,1,0,1,3,1,1
14,Largas_14,5,4,4,0,0,1,3,1
15,Largas_15,1,0,6,2,1,3,1,1
16,Largas_16,2,1,5,2,1,3,1,1
17,Largas_17,3,3,7,1,1,3,1,1
18,Largas_18,4,1,1,0,1,3,1,1
19,Largas_19,5,6,4,0,0,1,3,1
20,Largas_20,1,1,0,3,1,3,1,1
21,Largas_21,2,0,0,2,0,1,3,1
22,Largas_22,3,6,7,1,1,3,1,1
23,Largas_23,4,4,0,1,0,1,3,1
24,Largas_24,5,4,2,0,1,3,1,1
25,Largas_25,1,0,3,4,0,1,3,1
26,Largas_26,2,3,7,2,1,3,1,1
27,Largas_27,3,3,6,1,1,3,1,1
28,Largas_28,4,2,3,0,0,1,3,1
29,Largas_29,5,6,0,0,1,3,1,1
30,Largas_30,1,0,0,4,0,1,3,1
31,Largas_31,2,1,0,1,1,3,1,1
32,Largas_32,3,0,7,1,1,3,1,1
33,Largas_33,4,5,0,1,0,1,3,1
34,Largas_34,5,0,7,0,1,3,1,1
35,Largas_35,1,0,7,3,1,3,1,1
36,Largas_36,2,2,2,2,0,1,3,1
37,Largas_37,3,4,3,1,0,1,3,1
38,Largas_38,4,0,4,0,0,1,3,1
39,Largas_39,5,6,7,0,1,3,1,1
40,Largas_40,1,0,3,5,0,1,3,1
41,Largas_41,2,0,7,2,1,3,1,1
42,Largas_42,3,1,1,1,1,3,1,1
43,Largas_43,4,0,0,0,1,3,1,1
44,Largas_44,5,3,7,0,1,3,1,1
45,Largas_45,1,1,1,3,1,3,1,1
46,Largas_46,2,1,0,2,1,3,1,1
47,Largas_47,3,1,2,1,0,1,3,1
48,Largas_48,4,7,1,0,1,3,1,1
49,Largas_49,5,4,3,0,1,3,1,1
50,Largas_50,1,0,0,3,0,1,3,1
51,Largas_51,2,0,0,1,0,1,3,1
52,Largas_52,3,2,2,1,0,1,3,1
53,Largas_53,4,0,1,0,0,1,3,1
54,Largas_54,5,1,6,0,1,3,1,1
55,Largas_55,1,0,3,3,0,1,3,1
56,Largas_56,2,1,2,2,0,1,3,1
57,Largas_57,3,1,5,1,1,3,1,1
58,Largas_58,4,1,3,0,0,1,3,1
59,Largas_59,5,3,0,0,1,3,1,1
