geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.08280754089355469,1
2,-inf,0.11314153671264648,2
3,-inf,0.14316368103027344,3
4,-inf,0.2015833854675293,4
5,-inf,0.2710123062133789,5
6,-inf,0.3232555389404297,6
7,-inf,0.37668657302856445,7
8,-inf,0.42508721351623535,8
9,-inf,0.4901387691497803,9
10,-inf,0.5356564521789551,10
11,-inf,0.5925631523132324,11
12,-inf,0.631493330001831,12
13,-inf,0.6950030326843262,13
14,-inf,0.722059965133667,14
15,-inf,0.759782075881958,15
16,-inf,0.7865490913391113,16
17,-inf,0.8400852680206299,17
18,-inf,0.8812522888183594,18
19,-inf,0.9393885135650635,19
20,-inf,1.0020380020141602,20
21,-inf,1.0353519916534424,21
22,-inf,1.0951104164123535,22
23,-inf,1.154115915298462,23
24,-inf,1.2412781715393066,24
25,-inf,1.2921664714813232,25
26,-inf,1.3228635787963867,26
27,-inf,1.3585290908813477,27
28,-inf,1.413438081741333,28
29,-inf,1.4601294994354248,29
30,-inf,1.493638277053833,30
31,-inf,1.5515828132629395,31
32,-inf,1.6115379333496094,32
33,-inf,1.6692683696746826,33
34,-inf,1.7302868366241455,34
35,-inf,1.7999584674835205,35
36,-inf,1.8463923931121826,36
37,-inf,1.8881192207336426,37
38,-inf,1.9144587516784668,38
39,-inf,1.9644854068756104,39
40,-inf,2.023721218109131,40
41,-inf,2.098371982574463,41
42,-inf,2.1560728549957275,42
43,-inf,2.2026193141937256,43
44,-inf,2.254800319671631,44
45,-inf,2.2865376472473145,45
46,-inf,2.3121330738067627,46
47,-inf,2.3604822158813477,47
48,-inf,2.40061092376709,48
49,-inf,2.4496848583221436,49
50,-inf,2.4971370697021484,50
