teste,L,W,H,num_caixas,volume_caixas,ocupacao_teorica,volume_ocupado,utilizacao_real,fitness,tempo,geracoes,solucoes_invalidas,motivo,sucesso
Carga_10,10,8,6,10,10,2.083333333333333,10,2.083333333333333,-0.0,2.548084020614624,50,0,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_20,10,8,6,20,20,4.166666666666666,20,4.166666666666666,-0.0,12.705395936965942,50,58,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_30,10,8,6,30,30,6.25,30,6.25,-0.0,32.54803919792175,50,169,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_40,10,8,6,40,40,8.333333333333332,40,8.333333333333332,-0.0,63.353710651397705,50,408,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_50,10,8,6,50,50,10.416666666666668,50,10.416666666666668,-0.0,109.77272939682007,50,551,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_60,10,8,6,60,60,12.5,60,12.5,-0.0,177.12431073188782,50,413,ESTAGNACAO - 50 geracoes sem melhoria,True
Carga_70,10,8,6,70,70,14.583333333333334,70,14.583333333333334,-0.0,205.36171412467957,1,53,TEMPO_MAX - Limite de 0.05h,True
Carga_80,10,8,6,80,80,16.666666666666664,80,16.666666666666664,-0.0,180.27136778831482,22,277,TEMPO_MAX - Limite de 0.05h,True
Carga_90,10,8,6,90,90,18.75,90,18.75,-0.0,189.16665863990784,19,313,TEMPO_MAX - Limite de 0.05h,True
Carga_100,10,8,6,100,100,20.833333333333336,100,20.833333333333336,-0.0,185.38103795051575,15,282,TEMPO_MAX - Limite de 0.05h,True
Container_Pequeno,4,5,6,50,50,41.66666666666667,50,41.66666666666667,-0.0,104.89730167388916,67,1520,ESTAGNACAO - 50 geracoes sem melhoria,True
Container_Medio,6,8,10,50,50,10.416666666666668,50,10.416666666666668,-0.0,102.55653047561646,50,650,ESTAGNACAO - 50 geracoes sem melhoria,True
Container_Grande,8,10,12,50,50,5.208333333333334,50,5.208333333333334,-0.0,121.93421030044556,50,360,ESTAGNACAO - 50 geracoes sem melhoria,True
Container_Extra,10,12,15,50,50,2.7777777777777777,50,2.7777777777777777,-0.0,122.62847948074341,50,78,ESTAGNACAO - 50 geracoes sem melhoria,True
Volume_20,8,10,12,24,360,37.5,360,37.5,-2.173913043478261e-06,17.910027742385864,123,4703,ESTAGNACAO - 50 geracoes sem melhoria,True
Volume_30,8,10,12,36,510,53.125,0,0.0,-inf,3.7066586017608643,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_40,8,10,12,48,758,78.95833333333333,0,0.0,-inf,3.740626096725464,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_50,8,10,12,60,778,81.04166666666667,0,0.0,-inf,4.981741189956665,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_60,8,10,12,72,1066,111.04166666666666,0,0.0,-inf,5.227209806442261,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_70,8,10,12,84,1234,128.54166666666666,0,0.0,-inf,4.4044718742370605,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_80,8,10,12,96,1608,167.5,0,0.0,-inf,4.780850172042847,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Volume_90,8,10,12,108,2025,210.9375,0,0.0,-inf,4.055887222290039,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Formato_Cubicas,10,8,12,60,60,6.25,60,6.25,-0.0,186.08635663986206,50,640,ESTAGNACAO - 50 geracoes sem melhoria,True
Formato_Altas,10,8,12,60,180,18.75,180,18.75,-0.0,185.73059463500977,50,685,ESTAGNACAO - 50 geracoes sem melhoria,True
Formato_Largas,10,8,12,60,180,18.75,180,18.75,-0.0,180.43684768676758,81,2695,ESTAGNACAO - 50 geracoes sem melhoria,True
Formato_Longas,10,8,12,60,180,18.75,180,18.75,-0.0,216.0511658191681,96,2623,ESTAGNACAO - 50 geracoes sem melhoria,True
Formato_Mistas,10,8,12,60,195,20.3125,195,20.3125,-0.0,169.510648727417,70,1755,ESTAGNACAO - 50 geracoes sem melhoria,True
Prioridade_Equilibrada,8,10,12,50,441,45.9375,0,0.0,-inf,32.27335333824158,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Prioridade_Muitas_P1,8,10,12,50,428,44.583333333333336,0,0.0,-inf,19.94270396232605,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Prioridade_Muitas_P5,8,10,12,50,424,44.166666666666664,0,0.0,-inf,24.549450874328613,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Prioridade_Decrescente,8,10,12,50,347,36.145833333333336,0,0.0,-inf,21.55328392982483,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Prioridade_Crescente,8,10,12,50,338,35.208333333333336,0,0.0,-inf,21.03864574432373,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
Pedido_Real,4,5,6,23,73,60.83333333333333,0,0.0,-inf,2.522284507751465,50,2550,ESTAGNACAO - 50 geracoes sem melhoria,False
